Date,Open,High,Low,Turnover,Close,company
2011-01-03,121.94,121.0,116.8,510969.0,121.94,HBL
2011-01-04,119.49,122.3,119.5,627959.0,119.49,HBL
2011-01-05,121.87,126.45,121.4,1506848.0,121.87,HBL
2011-01-06,124.93,125.89,123.75,773913.0,124.93,HBL
2011-01-07,124.98,126.06,124.69,376749.0,124.98,HBL
2011-01-10,124.99,126.8,123.0,166214.0,124.99,HBL
2011-01-11,123.56,124.5,122.75,329849.0,123.56,HBL
2011-01-12,123.01,128.9,123.89,788687.0,123.01,HBL
2011-01-13,127.87,128.97,126.25,156709.0,127.87,HBL
2011-01-14,127.6,128.48,126.45,278339.0,127.6,HBL
2011-01-17,126.7,128.0,126.34,195832.0,126.7,HBL
2011-01-18,126.79,127.44,125.45,75393.0,126.79,HBL
2011-01-19,125.58,127.12,124.1,158779.0,125.58,HBL
2011-01-20,124.49,125.25,122.83,54899.0,124.49,HBL
2011-01-21,123.03,125.25,123.0,73781.0,123.03,HBL
2011-01-24,123.8,124.65,123.3,28629.0,123.8,HBL
2011-01-25,123.58,124.85,123.4,70998.0,123.58,HBL
2011-01-26,123.5,124.01,122.0,202293.0,123.5,HBL
2011-01-27,122.16,125.1,123.1,523617.0,122.16,HBL
2011-01-28,123.62,124.96,123.0,192270.0,123.62,HBL
2011-01-31,123.82,126.45,122.0,502164.0,123.82,HBL
2011-02-01,123.04,124.25,121.5,156405.0,123.04,HBL
2011-02-02,122.33,125.34,120.75,416363.0,122.33,HBL
2011-02-03,124.71,125.9,123.8,119391.0,124.71,HBL
2011-02-04,124.03,124.85,123.0,311317.0,124.03,HBL
2011-02-07,124.37,125.75,124.05,73565.0,124.37,HBL
2011-02-08,124.86,125.2,123.7,414286.0,124.86,HBL
2011-02-09,124.93,124.8,123.25,22308.0,124.93,HBL
2011-02-10,123.48,124.0,123.06,57136.0,123.48,HBL
2011-02-11,123.13,123.75,121.7,112463.0,123.13,HBL
2011-02-14,122.15,122.72,121.0,239870.0,122.15,HBL
2011-02-15,122.15,123.9,122.1,342375.0,122.15,HBL
2011-02-17,123.28,125.8,122.36,178820.0,123.28,HBL
2011-02-18,124.96,127.0,122.1,893122.0,124.96,HBL
2011-02-21,123.16,123.85,121.52,103755.0,123.16,HBL
2011-02-22,121.73,122.75,118.51,309012.0,121.73,HBL
2011-02-23,119.25,120.0,114.55,145969.0,119.25,HBL
2011-02-24,117.77,119.8,118.12,54132.0,117.77,HBL
2011-02-25,118.79,120.8,115.85,143070.0,118.79,HBL
2011-02-28,116.74,120.0,117.1,103847.0,116.74,HBL
2011-03-01,119.2,124.0,120.0,469476.0,119.2,HBL
2011-03-02,122.15,124.5,120.5,154199.0,122.15,HBL
2011-03-03,122.18,123.3,121.25,93900.0,122.18,HBL
2011-03-04,123.0,129.15,122.0,756419.0,123.0,HBL
2011-03-07,129.14,131.0,127.0,101124.0,129.14,HBL
2011-03-08,127.15,128.25,125.8,67467.0,127.15,HBL
2011-03-09,126.59,128.79,127.0,42400.0,126.59,HBL
2011-03-10,127.76,128.5,126.31,34122.0,127.76,HBL
2011-03-11,126.7,128.18,125.0,80177.0,126.7,HBL
2011-03-14,127.84,128.5,126.85,131048.0,127.84,HBL
2011-03-15,110.45,111.4,106.75,270640.0,110.45,HBL
2011-03-16,107.08,108.5,105.5,36071.0,107.08,HBL
2011-03-17,106.63,111.96,107.5,135335.0,106.63,HBL
2011-03-18,111.25,111.0,107.51,159484.0,111.25,HBL
2011-03-21,108.33,108.1,106.6,103875.0,108.33,HBL
2011-03-22,106.98,107.9,105.1,243634.0,106.98,HBL
2011-03-24,106.02,107.05,105.8,55647.0,106.02,HBL
2011-03-25,106.18,106.99,105.5,19269.0,106.18,HBL
2011-03-28,105.59,106.25,104.16,9085.0,105.59,HBL
2011-03-29,105.3,107.5,105.97,64672.0,105.3,HBL
2011-03-30,107.32,110.0,107.11,80757.0,107.32,HBL
2011-03-31,109.13,112.74,108.12,416712.0,109.13,HBL
2011-04-01,111.67,117.25,110.2,216281.0,111.67,HBL
2011-04-04,117.25,120.15,117.4,197092.0,117.25,HBL
2011-04-05,119.13,121.9,116.7,224833.0,119.13,HBL
2011-04-06,121.46,123.2,119.25,309450.0,121.46,HBL
2011-04-07,121.97,121.98,120.25,66865.0,121.97,HBL
2011-04-08,121.23,123.0,119.5,122570.0,121.23,HBL
2011-04-11,122.73,122.7,120.29,44211.0,122.73,HBL
2011-04-12,120.94,121.4,120.25,22205.0,120.94,HBL
2011-04-13,121.06,122.9,121.0,69187.0,121.06,HBL
2011-04-14,122.02,122.49,120.0,35543.0,122.02,HBL
2011-04-15,121.0,126.8,118.41,592309.0,121.0,HBL
2011-04-18,125.16,126.5,124.5,67996.0,125.16,HBL
2011-04-19,124.86,124.5,122.67,72315.0,124.86,HBL
2011-04-20,122.79,125.5,121.65,224639.0,122.79,HBL
2011-04-21,124.93,125.2,123.5,99724.0,124.93,HBL
2011-04-22,124.19,125.47,123.1,181642.0,124.19,HBL
2011-04-25,124.75,125.1,124.55,324806.0,124.75,HBL
2011-04-26,124.76,124.97,123.02,100747.0,124.76,HBL
2011-04-27,124.07,125.0,123.0,89918.0,124.07,HBL
2011-04-28,123.09,123.38,122.0,90377.0,123.09,HBL
2011-04-29,122.07,123.5,121.8,97608.0,122.07,HBL
2011-05-02,122.06,122.2,120.5,51695.0,122.06,HBL
2011-05-03,120.88,121.0,119.12,69249.0,120.88,HBL
2011-05-04,120.49,120.03,117.0,59633.0,120.49,HBL
2011-05-05,118.74,120.3,118.1,65852.0,118.74,HBL
2011-05-06,120.06,122.78,119.0,517452.0,120.06,HBL
2011-05-09,121.04,123.9,121.0,574257.0,121.04,HBL
2011-05-10,123.2,123.88,121.65,69743.0,123.2,HBL
2011-05-11,122.09,122.8,121.0,164300.0,122.09,HBL
2011-05-12,122.39,122.45,121.3,168591.0,122.39,HBL
2011-05-13,122.18,122.0,121.0,25556.0,122.18,HBL
2011-05-16,121.12,121.02,117.9,47887.0,121.12,HBL
2011-05-17,118.14,120.01,118.28,78118.0,118.14,HBL
2011-05-18,118.51,118.75,117.15,13411.0,118.51,HBL
2011-05-19,117.48,118.01,117.2,30085.0,117.48,HBL
2011-05-20,117.35,121.9,116.89,71712.0,117.35,HBL
2011-05-23,118.87,120.0,118.2,84967.0,118.87,HBL
