Date,Open,High,Low,Turnover,Close,company
1/3/2011,68.23,67.94,65.1,2378598,68.23,UBL
1/4/2011,65.59,67.1,65.55,3237772,65.59,UBL
1/5/2011,66.61,67.7,65.75,2947076,66.61,UBL
1/6/2011,65.99,66.8,66.15,1205505,65.99,UBL
1/7/2011,66.53,67.6,66.2,1651016,66.53,UBL
1/10/2011,67.15,68.05,66.2,1175382,67.15,UBL
1/11/2011,66.63,67.12,65.85,1255901,66.63,UBL
1/12/2011,66.51,68,66.5,1795803,66.51,UBL
1/13/2011,67.55,69.39,67.65,3411077,67.55,UBL
1/14/2011,69.1,69.98,68.3,2481541,69.1,UBL
1/17/2011,69.07,70.1,68.87,2350017,69.07,UBL
1/18/2011,69.52,69.99,68.5,1855626,69.52,UBL
1/19/2011,69.06,69.8,68.71,1159737,69.06,UBL
1/20/2011,68.86,69.07,67.78,1849755,68.86,UBL
1/21/2011,68.07,70.39,68.4,2783309,68.07,UBL
1/24/2011,69.06,69.25,68,451658,69.06,UBL
1/25/2011,68.08,69,68.48,410563,68.08,UBL
1/26/2011,68.79,69.74,68.2,1366147,68.79,UBL
1/27/2011,68.66,69.4,68.4,322517,68.66,UBL
1/28/2011,68.69,69.24,68.3,282405,68.69,UBL
1/31/2011,68.8,69.95,67,936408,68.8,UBL
2/1/2011,67.35,67.95,64.8,1242490,67.35,UBL
2/2/2011,65.21,66.4,64.75,360554,65.21,UBL
2/3/2011,65.34,67.1,65.2,953220,65.34,UBL
2/4/2011,66.88,67.5,66.51,419081,66.88,UBL
2/7/2011,67.24,67.39,66.72,114547,67.24,UBL
2/8/2011,66.9,67,65.3,341852,66.9,UBL
2/9/2011,65.71,65.82,65,269869,65.71,UBL
2/10/2011,65.23,65.5,64.25,283470,65.23,UBL
2/11/2011,64.64,65.27,62.5,394104,64.64,UBL
2/14/2011,63.78,64.5,63,330426,63.78,UBL
2/15/2011,63.52,65.25,63.52,830891,63.52,UBL
2/17/2011,64.45,64.8,63.2,223115,64.45,UBL
2/18/2011,63.49,64.2,62.1,458181,63.49,UBL
